Unnamed: 0,ds,alg,task,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,diff_test_accuracy,diff_test_balanced_accuracy,diff_test_f1,diff_test_precision,diff_test_recall
193.0,dna,NB,feat,-0.0006279434850862,-0.0008714596949891,-0.0008469205565243,-0.0010476592637104,-0.0008714596949891,,,,,
194.0,dna,NB,feat,0.0003134796238244,-3.2910109327155546e-05,0.0001854530177211,0.0002872566472743,-3.2910109327155546e-05,,,,,
195.0,dna,NB,feat,0.0,0.0,0.0,0.0,0.0,,,,,
196.0,dna,NB,feat,-0.0003139717425429,-0.0004357298474946,-0.0004291894886421,-0.0003023267862741,-0.0004357298474946,,,,,
197.0,dna,NB,feat,-0.0006269592476489,-0.0004028197381671,-0.000599734614276,-0.0009625994472921,-0.0004028197381671,,,,,
198.0,dna,DT,feat,-0.0012558869701726,-0.0010399594547452,-0.0012333322997282,-0.0013609941347888,-0.0010399594547452,,,,,
199.0,dna,DT,feat,-0.0009419152276297,-0.0013071895424835,-0.0013090179221222,-0.0013794957662883,-0.0013071895424835,,,,,
200.0,dna,DT,feat,0.0,2.82941459439634e-06,-8.504199521597311e-05,-0.0001286351048206,2.82941459439634e-06,,,,,
201.0,dna,DT,feat,0.0,0.0,0.0,0.0,0.0,,,,,
202.0,dna,DT,feat,0.0006279434850864,0.000871459694989,0.0006377217773477,0.0004444712451135,0.000871459694989,,,,,
203.0,dna,DT,feat,-0.0015673981191222,-0.0019386704298736,-0.0017314827185739,-0.0015383965379689,-0.0019386704298736,,,,,
204.0,dna,RF,feat,0.0003139717425432,0.0002014098690835,0.0002942779101228,0.0003406696755792,0.0002014098690835,,,,,
205.0,dna,RF,feat,0.0003139717425432,0.0004357298474944,0.000538049345149,0.0006484696188951,0.0004357298474944,,,,,
206.0,dna,RF,feat,-0.0021943573667712,-0.0023443195826348,-0.0023491319652292,-0.0023685195585676,-0.0023443195826348,,,,,
207.0,dna,RF,feat,0.0,0.0,0.0,0.0,0.0,,,,,
208.0,dna,RF,feat,0.0006279434850864,0.0011057796734001,0.0008431729455655,0.0005879288315823,0.0011057796734001,,,,,
209.0,dna,RF,feat,-0.0003134796238244,-0.0001985804544892,-0.0002853226649779,-0.0003904572631523,-0.0001985804544892,,,,,
210.0,phoneme,KNN,feat,0.0,0.0,0.0,0.0,0.0,,,,,
211.0,phoneme,KNN,feat,0.0,0.0,0.0,0.0,0.0,,,,,
212.0,phoneme,KNN,feat,0.0,0.0,0.0,0.0,0.0,,,,,
213.0,phoneme,KNN,feat,0.0,0.0,0.0,0.0,0.0,,,,,
214.0,phoneme,KNN,feat,0.0,0.0,0.0,0.0,0.0,,,,,
215.0,phoneme,KNN,feat,0.0,0.0,0.0,0.0,0.0,,,,,
216.0,phoneme,SVC,feat,0.0,0.0,0.0,0.0,0.0,,,,,
217.0,phoneme,SVC,feat,0.0,0.0,0.0,0.0,0.0,,,,,
